start_lon,start_lat,end_lon,end_lat
144.844624827586,-37.81152,144.845190689655,-37.8115820689655
144.838976896552,-37.7592582758621,144.838156896552,-37.7591672413793
144.860862758621,-37.6939793103448,144.861818965517,-37.6938910344828
144.805045862069,-37.2969293103448,144.805713793103,-37.2925631034483
144.808158965517,-37.82044,144.808667931035,-37.8226093103448
144.910143793103,-37.8390093103448,144.909728965517,-37.8385531034483
144.850000689655,-37.8067610344828,144.851192758621,-37.8080082758621
145.054167931034,-37.8258572413793,145.052104827586,-37.82559
145.095124827586,-38.1711193103448,145.096922758621,-38.1648531034483
145.150267931034,-37.7878210344828,145.141527931034,-37.7876920689655
145.027394827586,-37.6896651724138,145.034578965517,-37.690104137931
145.295322758621,-37.6805972413793,145.292382758621,-37.6805020689655
145.078907931035,-37.88328,145.080726896552,-37.8783193103448
145.137568965517,-37.6953851724138,145.138955862069,-37.67555
145.084664827586,-37.8097993103448,145.093140689655,-37.8085262068966
145.196970689655,-38.0186920689655,145.197531724138,-38.0172020689655
144.959577931034,-37.8307982758621,144.957184827586,-37.8270331034483
144.891724827586,-37.7411631034483,144.890713793103,-37.7473331034483
145.070786896552,-37.9209610344828,145.070356896552,-37.920674137931
145.338449655172,-38.0565782758621,145.338375862069,-38.0570272413793
145.217393793103,-37.85517,145.225602758621,-37.8491320689655
145.115473793103,-37.5883051724138,145.122629655172,-37.5909572413793
145.249897931034,-38.1217182758621,145.247711724138,-38.1130231034483
144.88034,-37.7897582758621,144.872719655172,-37.7908393103448
145.329760689655,-37.9074320689655,145.331468965517,-37.9032551724138
145.051773793103,-37.9153031034483,145.046004827586,-37.9165072413793
145.037284827586,-37.8727320689655,145.045359655172,-37.876114137931
145.320357931034,-38.0879531034483,145.301428965517,-38.0854582758621
145.249352758621,-38.0165510344828,145.250828965517,-38.04042
144.997150689655,-37.8348062068966,144.99696,-37.8311393103448
144.585098965517,-37.7148531034483,144.580681724138,-37.7125772413793
145.022540689655,-37.8839720689655,145.021068965517,-37.89167
145.055593793103,-37.9132772413793,145.056935862069,-37.9207310344828
145.214330689655,-37.8832120689655,145.21619,-37.8853172413793
